edge_id,parent,child,length_m,R_ohm,X_ohm,ampacity_A
234,247,246,0.0,0.0,0.0,0.016
235,227,228,0.0,0.0,0.0,0.016
236,207,206,0.0,0.0,0.0,0.02
237,193,194,0.01,4.61e-05,1e-06,0.047
238,220,223,0.0,0.0,0.0,0.025
239,222,186,0.072,6.249599999999999e-05,5.975999999999999e-06,0.123
240,222,226,0.031,3.0132e-05,3.1000000000000004e-06,0.118
241,194,191,0.0,0.0,0.0,0.016
242,186,185,0.0,0.0,0.0,0.02
243,226,197,0.035,6.685000000000001e-05,3.5000000000000004e-06,0.075
244,226,232,0.028,2.7216e-05,2.8000000000000003e-06,0.118
245,197,198,0.014,2.674e-05,1.4000000000000001e-06,0.075
246,232,231,0.012,1.2e-08,1.2e-08,1.0
247,198,199,0.0,0.0,0.0,0.016
248,231,230,0.0,0.0,0.0,0.025
